79,The Strangers,2008,A young couple is terrorized by a group of masked strangers at their secluded vacation home.,3,2023-10-16 19:15:57.806002,2023-10-16 19:15:57.806002,https://m.media-amazon.com/images/M/MV5BMTkxODAyODMwNV5BMl5BanBnXkFtZTcwNzk5Nzk2MQ@@._V1_FMjpg_UX1000_.jpg
33,Psycho,1960,A secretary on the run stops at a mysterious motel.,2,2023-10-16 19:14:08.120916,2023-10-16 19:14:08.120916,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Psycho_%281960%29_theatrical_poster_%28retouched%29.jpg/1200px-Psycho_%281960%29_theatrical_poster_%28retouched%29.jpg
52,The Texas Chainsaw Massacre,1974,A group of friends encounters a family of cannibals in Texas.,2,2023-10-16 19:14:08.206735,2023-10-16 19:14:08.206735,https://m.media-amazon.com/images/M/MV5BMTU1MzY2NDc2MV5BMl5BanBnXkFtZTgwMTc3MTUzMzI@._V1_.jpg
24,Teen Witch,1989,A teen comedy with a magical twist.,1,2023-10-16 19:04:03.609686,2023-10-16 19:04:03.609686,https://flxt.tmsimg.com/assets/p11602_v_h9_aa.jpg
54,The Blair Witch Project,1999,Student filmmakers get lost in a haunted forest.,2,2023-10-16 19:14:08.214079,2023-10-16 19:14:08.214079,https://m.media-amazon.com/images/M/MV5BNzQ1NDBlNDItMDAyYS00YTI2LTgwMmYtMzAwMzg4NDFlM2ZmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg
38,Hereditary,2018,A family's dark secrets unravel after the death of their secretive grandmother.,2,2023-10-16 19:14:08.145284,2023-10-16 19:14:08.145284,https://m.media-amazon.com/images/M/MV5BOTU5MDg3OGItZWQ1Ny00ZGVmLTg2YTUtMzBkYzQ1YWIwZjlhXkEyXkFqcGdeQXVyNTAzMTY4MDA@._V1_.jpg
49,The Others,2001,A woman believes her house is haunted by malevolent spirits.,2,2023-10-16 19:14:08.195688,2023-10-16 19:14:08.195688,https://m.media-amazon.com/images/M/MV5BYjVhMmM3ZTMtNzIzOS00YTY4LTkxNTAtOTA5Mjk3YzMwMzA2XkEyXkFqcGdeQXVyNDE0OTU3NDY@._V1_.jpg
39,The Babadook,2014,A mother and son are haunted by a sinister presence from a children's book.,2,2023-10-16 19:14:08.149126,2023-10-16 19:14:08.149126,https://m.media-amazon.com/images/M/MV5BMTk0NzMzODc2NF5BMl5BanBnXkFtZTgwOTYzNTM1MzE@._V1_.jpg
41,The Sixth Sense,1999,A child psychologist helps a young boy who claims to see dead people.,2,2023-10-16 19:14:08.156474,2023-10-16 19:14:08.156474,https://m.media-amazon.com/images/M/MV5BMWM4NTFhYjctNzUyNi00NGMwLTk3NTYtMDIyNTZmMzRlYmQyXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_FMjpg_UX1000_.jpg
43,Rosemary's Baby,1968,A pregnant woman suspects her neighbors have sinister plans for her unborn child.,2,2023-10-16 19:14:08.168122,2023-10-16 19:14:08.168122,https://m.media-amazon.com/images/M/MV5BMTA5NWQwMmYtZjEyYS00Nzc2LTgwZjAtNTQ4NmFmZjNkNjg4XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_FMjpg_UX1000_.jpg
45,Sinister,2012,A true-crime writer uncovers unsettling home movies in his new house.,2,2023-10-16 19:14:08.176958,2023-10-16 19:14:08.176958,https://m.media-amazon.com/images/M/MV5BMjI5MTg1Njg0Ml5BMl5BanBnXkFtZTcwNzg2Mjc4Nw@@._V1_.jpg
55,Saw,2004,People awaken to find themselves in deadly traps set by a sadistic killer.,2,2023-10-16 19:14:08.2181,2023-10-16 19:14:08.2181,https://flxt.tmsimg.com/assets/p34813_v_v8_al.jpg
36,Halloween,1978,Michael Myers escapes from a mental institution and returns to his hometown to kill.,2,2023-10-16 19:14:08.134404,2023-10-16 19:14:08.134404,https://m.media-amazon.com/images/M/MV5BNzk1OGU2NmMtNTdhZC00NjdlLWE5YTMtZTQ0MGExZTQzOGQyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg
56,Poltergeist,1982,A family's home is invaded by malevolent spirits.,2,2023-10-16 19:14:08.222242,2023-10-16 19:14:08.222242,https://m.media-amazon.com/images/M/MV5BODJiZTU1ZTMtZTEzMy00NzFmLWJjNzctZTc2MDcwZjE1MDBjXkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_FMjpg_UX1000_.jpg
35,A Nightmare on Elm Street,1984,Teenagers are haunted by Freddy Krueger in their dreams.,2,2023-10-16 19:14:08.129672,2023-10-16 19:14:08.129672,https://m.media-amazon.com/images/M/MV5BNzFjZmM1ODgtMDBkMS00NWFlLTg2YmUtZjc3ZTgxMjE1OTI2L2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_.jpg
47,Don't Breathe,2016,Three thieves break into a blind man's house but he's not as helpless as he seems.,2,2023-10-16 19:14:08.187556,2023-10-16 19:14:08.187556,https://upload.wikimedia.org/wikipedia/en/4/41/Don%27t_Breathe_%282016_film%29.png
32,The Shining,1980,A family's stay at a remote hotel becomes terrifying as the father descends into madness.,2,2023-10-16 19:14:08.113851,2023-10-16 19:14:08.113851,https://flxt.tmsimg.com/assets/p40_v_v12_sk.jpg
